Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Length
?a  P17  ?h  ?h  P36  ?b   => ?a  P36  ?b	0.083094556	0.004541895	0.16477272699999998	58	12770	352	?a	2
?a  P131  ?h  ?h  P36  ?b   => ?a  P36  ?b	0.03008596	0.036585366	0.13125	21	574	160	?a	2
?a  P17  ?h  ?h  P30  ?b   => ?a  P30  ?b	0.532432432	0.057256346	0.539726027	591	10322	1095	?a	2
?a  P131  ?h  ?h  P30  ?b   => ?a  P30  ?b	0.09909909900000001	0.151098901	0.57591623	110	728	191	?a	2
?a  P26  ?h  ?h  P551  ?b   => ?a  P551  ?b	0.012105388	0.132124352	0.37777777799999995	51	386	135	?a	2
?a  P54  ?h  ?h  P641  ?b   => ?a  P641  ?b	0.04	0.9375	0.950704225	135	144	142	?a	2
?a  P3373  ?h  ?h  P361  ?b   => ?a  P361  ?b	0.015748031000000003	0.571428571	1.0	20	35	20	?a	2
?a  P112  ?h  ?h  P641  ?b   => ?a  P452  ?b	0.017241378999999998	0.133333333	0.5	2	15	4	?a	2
?a  P26  ?h  ?h  P27  ?b   => ?a  P27  ?b	0.023156667000000002	0.664092664	0.6655202060000001	1548	2331	2326	?a	2
?a  P140  ?h  ?h  P3095  ?b   => ?a  P172  ?b	0.015952143999999998	0.115315315	0.52892562	64	555	121	?a	2
?a  P27  ?h  ?h  P36  ?b   => ?a  P20  ?b	0.335760781	0.060469512	0.13921829900000002	8253	136482	59281	?a	2
?a  P113  ?h  ?h  P1454  ?b   => ?a  P1454  ?b	0.023529412000000003	0.571428571	1.0	4	7	4	?a	2
?a  P361  ?h  ?h  P4552  ?b   => ?a  P4552  ?b	0.010067114	0.5	0.6	3	6	5	?a	2
?a  P138  ?h  ?h  P3373  ?b   => ?a  P138  ?b	0.013850416	0.151515152	0.151515152	5	33	33	?a	2
?a  P131  ?h  ?h  P17  ?b   => ?a  P17  ?b	0.10793967300000001	0.43408521299999997	0.436932392	866	1995	1982	?a	2
?a  P159  ?h  ?h  P17  ?b   => ?a  P17  ?b	0.08961735	0.292514239	0.309380379	719	2458	2324	?a	2
?a  P138  ?h  ?h  P17  ?b   => ?a  P17  ?b	0.011217748999999999	0.24193548399999998	0.267062315	90	372	337	?a	2
?a  P112  ?h  ?h  P27  ?b   => ?a  P17  ?b	0.020067306	0.626459144	0.709251101	161	257	227	?a	2
?a  P113  ?h  ?h  P17  ?b   => ?a  P17  ?b	0.020565873000000002	0.829145729	0.829145729	165	199	199	?a	2
?a  P26  ?h  ?h  P40  ?b   => ?a  P40  ?b	0.20064724899999997	0.7560975609999999	0.7560975609999999	372	492	492	?b	2
?a  P27  ?h  ?h  P37  ?b   => ?a  P1412  ?b	0.8545815170000001	0.305351698	0.537614107	32745	107237	60908	?a	2
?a  P19  ?h  ?h  P37  ?b   => ?a  P1412  ?b	0.080982332	0.4432223970000001	0.75590743	3103	7001	4105	?a	2
?a  P20  ?h  ?h  P37  ?b   => ?a  P1412  ?b	0.073988047	0.513493932	0.7685009490000001	2835	5521	3689	?a	2
?a  P47  ?h  ?h  P530  ?b   => ?a  P530  ?b	0.817024662	0.223474628	0.223474628	5135	22978	22978	?b	2
?a  P17  ?h  ?h  P36  ?b   => ?a  P159  ?b	0.422535211	0.030540328999999998	0.20020533899999998	390	12770	1948	?a	2
?a  P112  ?h  ?h  P19  ?b   => ?a  P159  ?b	0.030335861000000002	0.15555555599999998	0.25925925899999996	28	180	108	?a	2
?a  P112  ?h  ?h  P20  ?b   => ?a  P159  ?b	0.02383532	0.217821782	0.44	22	101	50	?a	2
?a  P112  ?h  ?h  P551  ?b   => ?a  P159  ?b	0.014084507	0.185714286	0.295454545	13	70	44	?a	2
?a  P113  ?h  ?h  P138  ?b   => ?a  P159  ?b	0.065005417	0.179104478	0.24	60	335	250	?a	2
?a  P113  ?h  ?h  P131  ?b   => ?a  P159  ?b	0.020585048999999998	0.135714286	0.17272727300000001	19	140	110	?a	2
?a  P17  ?h  ?h  P37  ?b   => ?a  P407  ?b	0.07357212	0.00466458	0.520547945	76	16293	146	?a	2
?a  P159  ?h  ?h  P37  ?b   => ?a  P407  ?b	0.012584705	0.079754601	0.7222222220000001	13	163	18	?a	2
?a  P112  ?h  ?h  P1412  ?b   => ?a  P407  ?b	0.026137464	0.155172414	0.771428571	27	174	35	?a	2
?a  P161  ?h  ?h  P27  ?b   => ?a  P495  ?b	0.512580375	0.440374685	0.44191371399999996	3667	8327	8298	?a	2
?a  P170  ?h  ?h  P27  ?b   => ?a  P495  ?b	0.01369863	0.6950354609999999	0.837606838	98	141	117	?a	2
?a  P159  ?h  ?h  P17  ?b   => ?a  P495  ?b	0.011462119	0.033360456000000004	0.252307692	82	2458	325	?a	2
?a  P264  ?h  ?h  P740  ?b   => ?a  P740  ?b	0.02574103	0.031884058	0.127906977	33	1035	258	?a	2
?a  P17  ?h  ?h  P36  ?b   => ?a  P740  ?b	0.093603744	0.009397024	0.212765957	120	12770	564	?a	2
?a  P113  ?h  ?h  P138  ?b   => ?a  P740  ?b	0.038221529	0.146268657	0.23902439	49	335	205	?a	2
?a  P113  ?h  ?h  P131  ?b   => ?a  P740  ?b	0.010140406	0.092857143	0.154761905	13	140	84	?a	2
?a  P17  ?h  ?h  P37  ?b   => ?a  P37  ?b	0.624072547	0.09292334099999999	0.252459563	1514	16293	5997	?a	2
?a  P131  ?h  ?h  P37  ?b   => ?a  P37  ?b	0.058120363	0.144912641	0.501779359	141	973	281	?a	2
?a  P36  ?h  ?h  P37  ?b   => ?a  P37  ?b	0.045342127	0.6790123459999999	0.797101449	110	162	138	?a	2
?a  P361  ?h  ?h  P37  ?b   => ?a  P37  ?b	0.012778236	0.373493976	0.645833333	31	83	48	?a	2
?a  P119  ?h  ?h  P131  ?b   => ?a  P2348  ?b	0.012681159	0.006060606	0.194444444	7	1155	36	?a	2
?a  P138  ?h  ?h  P17  ?n  ?n  P36  ?b   => ?a  P36  ?b	0.012893983000000001	0.022670025	0.219512195	9	397	41	?a	3
?a  P131  ?h  ?h  P17  ?n  ?n  P30  ?b   => ?a  P30  ?b	0.06036036	0.04659249	0.67	67	1438	100	?a	3
?a  P138  ?h  ?h  P27  ?n  ?n  P30  ?b   => ?a  P30  ?b	0.013513513999999999	0.040214477	0.365853659	15	373	41	?a	3
?a  P131  ?h  ?h  P36  ?n  ?n  P361  ?b   => ?a  P361  ?b	0.020472441	0.7027027029999999	0.838709677	26	37	31	?a	3
?a  P119  ?h  ?h  P17  ?n  ?n  P36  ?b   => ?a  P119  ?b	0.033213645	0.113671275	0.113671275	222	1953	1953	?a	3
?a  P119  ?h  ?h  P131  ?n  ?n  P36  ?b   => ?a  P119  ?b	0.023788151	0.261943987	0.261943987	159	607	607	?a	3
?a  P112  ?h  ?h  P264  ?n  ?n  P452  ?b   => ?a  P452  ?b	0.060344827999999996	0.21875	0.7777777779999999	7	32	9	?a	3
?a  P26  ?h  ?h  P26  ?n  ?n  P451  ?b   => ?a  P26  ?b	0.029653285	0.300925926	0.607476636	65	216	107	?b	3
?a  P131  ?b  ?b  P17  ?p  ?p  P36  ?b   => ?a  P138  ?b	0.013850416	0.011286682	0.21739130399999998	5	443	23	?a	3
?a  P131  ?b  ?b  P131  ?p  ?p  P36  ?b   => ?a  P138  ?b	0.011080332	0.028985507	0.235294118	4	138	17	?a	3
?a  P138  ?p  ?p  P17  ?a  ?a  P36  ?b   => ?a  P138  ?b	0.011080332	0.571428571	0.571428571	4	7	7	?a	3
?a  P138  ?h  ?h  P17  ?n  ?n  P36  ?b   => ?a  P138  ?b	0.146814404	0.133501259	0.133501259	53	397	397	?a	3
?a  P131  ?h  ?h  P17  ?n  ?n  P36  ?b   => ?a  P131  ?b	0.067314998	0.22464503	0.22464503	443	1972	1972	?a	3
?a  P131  ?h  ?h  P131  ?n  ?n  P36  ?b   => ?a  P131  ?b	0.020969458	0.28571428600000004	0.28571428600000004	138	483	483	?a	3
?a  P131  ?b  ?b  P47  ?p  ?p  P530  ?b   => ?a  P17  ?b	0.017075906999999998	0.9580419579999999	0.964788732	137	143	142	?a	3
?a  P113  ?h  ?h  P138  ?n  ?n  P17  ?b   => ?a  P17  ?b	0.017075906999999998	0.22312703600000008	0.22312703600000008	137	614	614	?a	3
?a  P27  ?h  ?h  P36  ?n  ?n  P37  ?b   => ?a  P1412  ?b	0.38982697	0.531055569	0.734185304	14937	28127	20345	?a	3
?a  P108  ?h  ?h  P17  ?n  ?n  P37  ?b   => ?a  P1412  ?b	0.012292194	0.295483061	0.48506694100000003	471	1594	971	?a	3
?a  P26  ?h  ?h  P27  ?n  ?n  P37  ?b   => ?a  P1412  ?b	0.029282042	0.302915767	0.468475992	1122	3704	2395	?a	3
?a  P36  ?h  ?h  P361  ?n  ?n  P530  ?b   => ?a  P530  ?b	0.010182975	1.0	1.0	64	64	64	?b	3
?a  P161  ?h  ?h  P451  ?n  ?n  P551  ?b   => ?a  P840  ?b	0.016262657	0.08589951400000001	0.10515873	53	617	504	?a	3
?a  P112  ?h  ?h  P264  ?n  ?n  P749  ?b   => ?a  P749  ?b	0.107238606	0.27972028	0.449438202	40	143	89	?a	3
?a  P112  ?h  ?h  P264  ?n  ?n  P361  ?b   => ?a  P749  ?b	0.013404826000000002	0.4166666670000001	0.625	5	12	8	?a	3
