Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Length
?a  P17  ?h  ?h  P30  ?b   => ?a  P30  ?b	0.255754476	0.075987842	0.42735042700000003	100	1316	234	?a	2
?a  P17  ?h  ?h  P361  ?b   => ?a  P30  ?b	0.028132992000000002	0.028871391	0.26829268300000003	11	381	41	?a	2
?a  P131  ?h  ?h  P30  ?b   => ?a  P30  ?b	0.08439897699999999	0.294642857	0.647058824	33	112	51	?a	2
?a  P112  ?h  ?h  P30  ?b   => ?a  P30  ?b	0.010230179	0.571428571	0.571428571	4	7	7	?a	2
?a  P26  ?h  ?h  P551  ?b   => ?a  P551  ?b	0.016028956	0.147619048	0.418918919	31	210	74	?a	2
?a  P3373  ?h  ?h  P361  ?b   => ?a  P361  ?b	0.040935673	0.5	1.0	7	14	7	?a	2
?a  P3373  ?h  ?h  P463  ?b   => ?a  P361  ?b	0.023391812999999997	0.016460905	1.0	4	243	4	?a	2
?a  P26  ?h  ?h  P463  ?b   => ?a  P361  ?b	0.011695906	0.009478673	1.0	2	211	2	?a	2
?a  P26  ?h  ?h  P361  ?b   => ?a  P361  ?b	0.011695906	0.333333333	1.0	2	6	2	?a	2
?a  P26  ?h  ?h  P27  ?b   => ?a  P27  ?b	0.040527692000000004	0.658301158	0.6608527129999999	682	1036	1032	?a	2
?a  P140  ?h  ?h  P3095  ?b   => ?a  P172  ?b	0.020933275	0.184615385	0.545454545	48	260	88	?a	2
?a  P131  ?h  ?h  P17  ?b   => ?a  P17  ?b	0.061980348	0.296028881	0.29710144899999996	82	277	276	?a	2
?a  P159  ?h  ?h  P17  ?b   => ?a  P17  ?b	0.10355253199999999	0.3425	0.34595959600000004	137	400	396	?a	2
?a  P112  ?h  ?h  P27  ?b   => ?a  P17  ?b	0.0287226	0.76	0.826086957	38	50	46	?a	2
?a  P131  ?h  ?h  P361  ?b   => ?a  P131  ?b	0.014150943000000001	0.14285714300000002	0.14285714300000002	3	21	21	?a	2
?a  P138  ?h  ?h  P27  ?b   => ?a  P131  ?b	0.014150943000000001	0.06	0.272727273	3	50	11	?a	2
?a  P112  ?h  ?h  P20  ?b   => ?a  P131  ?b	0.014150943000000001	0.15	0.5	3	20	6	?a	2
?a  P26  ?h  ?h  P40  ?b   => ?a  P40  ?b	0.322250639	0.828947368	0.828947368	126	152	152	?b	2
?a  P161  ?h  ?h  P20  ?b   => ?a  P840  ?b	0.05776892400000001	0.106227106	0.133846154	87	819	650	?a	2
?a  P27  ?h  ?h  P37  ?b   => ?a  P1412  ?b	0.789653528	0.394262815	0.542916462	9937	25204	18303	?a	2
?a  P19  ?h  ?h  P37  ?b   => ?a  P1412  ?b	0.052844882	0.6203358210000001	0.789786223	665	1072	842	?a	2
?a  P20  ?h  ?h  P37  ?b   => ?a  P1412  ?b	0.066433566	0.743772242	0.818003914	836	1124	1022	?a	2
?a  P112  ?h  ?h  P551  ?b   => ?a  P159  ?b	0.035502959	0.28571428600000004	0.352941176	6	21	17	?a	2
?a  P112  ?h  ?h  P19  ?b   => ?a  P159  ?b	0.035502959	0.23076923100000002	0.333333333	6	26	18	?a	2
?a  P112  ?h  ?h  P20  ?b   => ?a  P159  ?b	0.029585799	0.25	0.454545455	5	20	11	?a	2
?a  P161  ?h  ?h  P27  ?b   => ?a  P495  ?b	0.714494876	0.405652535	0.40632806	1464	3609	3603	?a	2
?a  P3373  ?h  ?h  P740  ?b   => ?a  P740  ?b	0.030075188	0.26666666699999997	1.0	4	15	4	?a	2
?a  P138  ?h  ?h  P19  ?b   => ?a  P740  ?b	0.015037594	0.2	0.666666667	2	10	3	?a	2
?a  P361  ?h  ?h  P37  ?b   => ?a  P37  ?b	0.019851116999999998	0.5	0.571428571	8	16	14	?a	2
?a  P17  ?h  ?h  P37  ?b   => ?a  P37  ?b	0.20099255600000002	0.059253840999999995	0.468208092	81	1367	173	?a	2
?a  P131  ?h  ?h  P37  ?b   => ?a  P37  ?b	0.066997519	0.238938053	0.675	27	113	40	?a	2
?a  P131  ?h  ?h  P17  ?n  ?n  P30  ?b   => ?a  P30  ?b	0.025575447999999997	0.065359477	0.588235294	10	153	17	?a	3
?a  P138  ?h  ?h  P27  ?n  ?n  P30  ?b   => ?a  P30  ?b	0.020460358	0.103896104	0.307692308	8	77	26	?a	3
?a  P138  ?p  ?p  P27  ?a  ?a  P30  ?b   => ?a  P361  ?b	0.011695906	1.0	1.0	2	2	2	?a	3
?a  P138  ?h  ?h  P27  ?n  ?n  P361  ?b   => ?a  P361  ?b	0.035087718999999996	0.352941176	1.0	6	17	6	?a	3
?a  P26  ?h  ?h  P26  ?n  ?n  P451  ?b   => ?a  P26  ?b	0.03926097	0.280991736	0.280991736	34	121	121	?a	3
?a  P161  ?h  ?h  P26  ?n  ?n  P551  ?b   => ?a  P840  ?b	0.02124834	0.07804878	0.10031348	32	410	319	?a	3
?a  P161  ?h  ?h  P451  ?n  ?n  P551  ?b   => ?a  P840  ?b	0.022576361	0.111111111	0.136	34	306	250	?a	3
?a  P108  ?h  ?h  P17  ?n  ?n  P37  ?b   => ?a  P1412  ?b	0.01327082	0.4175	0.47443181799999995	167	400	352	?a	3
?a  P119  ?h  ?h  P17  ?n  ?n  P37  ?b   => ?a  P1412  ?b	0.0116815	0.4140845070000001	0.448170732	147	355	328	?a	3
?a  P26  ?h  ?h  P27  ?n  ?n  P37  ?b   => ?a  P1412  ?b	0.044659885999999996	0.345208845	0.456168831	562	1628	1232	?a	3
?a  P161  ?h  ?h  P26  ?n  ?n  P27  ?b   => ?a  P495  ?b	0.35334309399999997	0.599337748	0.600829876	724	1208	1205	?a	3
?a  P161  ?h  ?h  P264  ?n  ?n  P740  ?b   => ?a  P495  ?b	0.010248901999999999	0.112903226	0.11351351400000001	21	186	185	?a	3
?a  P138  ?h  ?h  P463  ?n  ?n  P740  ?b   => ?a  P740  ?b	0.015037594	1.0	1.0	2	2	2	?a	3
